Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Air Relative Humidity [%](TimeStep),LIVING_UNIT1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air Relative Humidity [%](TimeStep),CRAWLSPACE_UNIT1:Zone Air Relative Humidity [%](TimeStep),Whole Building:Facility Total Purchased Electricity Energy [J](TimeStep),Whole Building:Facility Total Surplus Electricity Energy [J](TimeStep),Whole Building:Facility Net Purchased Electricity Energy [J](TimeStep),DAYSOFWEEK:Schedule Value [](TimeStep),Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Photovoltaic:ElectricityProduced [J](TimeStep),Cogeneration:ElectricityPurchased [J](TimeStep),Cogeneration:ElectricitySurplusSold [J](TimeStep) 
 01/21  02:10:00,3.8,100.0,0.0,0.0,20.0,37.753384520529028,20.0,23.0,100.0,47.606105345947067,604280.5834032849,0.0,604280.5834032849,2.0,604280.5834032849,0.0,520746.2851306133,0.0,604280.5834032849,0.0 
 01/21  02:15:00,3.8,100.0,0.0,0.0,19.999999999999998,37.757776801052489,20.0,23.0,100.0,47.60668367893694,604525.0830802025,0.0,604525.0830802025,2.0,604525.0830802025,0.0,520990.78480753095,0.0,604525.0830802025,0.0 
 01/21  02:20:00,3.8,100.0,0.0,0.0,20.0,37.76202875891407,20.0,23.0,100.0,47.60725469898778,604759.4751398244,0.0,604759.4751398244,2.0,604759.4751398246,0.0,521225.176867153,0.0,604759.4751398244,0.0 
 01/21  02:25:00,3.8,100.0,0.0,0.0,20.0,37.76615129031485,20.0,23.0,100.0,47.60781694162111,604984.306023023,0.0,604984.306023023,2.0,604984.306023023,0.0,521450.0077503514,0.0,604984.306023023,0.0 
 01/21  02:30:00,3.8,100.0,0.0,0.0,19.999999999999998,37.77014847048382,20.0,23.0,100.0,47.60837187069,605200.0855802754,0.0,605200.0855802754,2.0,605200.0855802754,0.0,521665.7873076038,0.0,605200.0855802754,0.0 
 01/21  02:35:00,3.8,100.0,0.0,0.0,20.0,37.774017554050889,20.0,23.0,100.0,47.60891655746492,605407.2899277661,0.0,605407.2899277661,2.0,605407.2899277662,0.0,521872.99165509457,0.0,605407.2899277661,0.0 
 01/21  02:40:00,3.8,100.0,0.0,0.0,20.0,37.77776906098924,20.0,23.0,100.0,47.609451001551509,605606.3640631666,0.0,605606.3640631666,2.0,605606.3640631666,0.0,522072.065790495,0.0,605606.3640631666,0.0 
 01/21  02:45:00,3.8,100.0,0.0,0.0,20.0,37.78140446783178,20.0,23.0,100.0,47.60997666682062,605797.7242600254,0.0,605797.7242600254,2.0,605797.7242600254,0.0,522263.4259873539,0.0,605797.7242600254,0.0 
 01/21  02:50:00,3.8,100.0,0.0,0.0,20.000000000000005,37.78492736761861,20.0,23.0,100.0,47.61049355294566,605981.7602587257,0.0,605981.7602587257,2.0,605981.7602587257,0.0,522447.4619860542,0.0,605981.7602587257,0.0 
 01/21  02:55:00,3.8,100.0,0.0,0.0,20.000000000000005,37.78834124219188,20.0,23.0,100.0,47.610998731019069,606158.8372721092,0.0,606158.8372721092,2.0,606158.8372721092,0.0,522624.5389994377,0.0,606158.8372721092,0.0 
 01/21  03:00:00,3.8,100.0,0.0,0.0,20.0,37.79164946563728,20.0,23.0,100.0,47.61149366493443,606329.297821441,0.0,606329.297821441,2.0,606329.2978214411,0.0,522794.99954876946,0.0,606329.297821441,0.0 
 01/21  03:05:00,3.8,100.0,0.0,0.0,20.000000000000005,37.79485530761889,20.0,23.0,100.0,47.61197835433145,606493.463417994,0.0,606493.463417994,2.0,606493.463417994,0.0,522959.1651453224,0.0,606493.463417994,0.0 
 01/21  03:10:00,3.8,100.0,0.0,0.0,20.000000000000005,37.79796193661095,20.0,23.0,100.0,47.61245279885958,606651.9327455774,0.0,606651.9327455774,2.0,606651.9327455774,0.0,523117.63447290586,0.0,606651.9327455774,0.0 
 01/21  03:15:00,3.8,100.0,0.0,0.0,19.999999999999998,37.800974656107189,20.0,23.0,100.0,47.6129155338168,606804.9891281845,0.0,606804.9891281845,2.0,606804.9891281846,0.0,523270.69085551306,0.0,606804.9891281845,0.0 
 01/21  03:20:00,3.8,100.0,0.0,0.0,20.000000000000008,37.80388974226761,20.0,23.0,100.0,47.61336948756893,606952.6028298065,0.0,606952.6028298065,2.0,606952.6028298066,0.0,523418.30455713506,0.0,606952.6028298065,0.0 
